Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599764.89422,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.896418,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.898148,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.899749,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.901138,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.902779,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.903669,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.906285,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.906779,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.90854,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.908919,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.910388,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.91147,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.913082,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.914131,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.916337,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.918396,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.920475,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.922395,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.924943,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.92942,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.933333,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.935459,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.935855,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.93614,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.936604,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.937714,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.939329,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.940479,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.942401,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.942921,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.944915,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.94675,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.949511,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.950235,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.952881,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.953576,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.957073,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.957087,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.959134,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.9596,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.961445,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.962386,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.964975,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.966073,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.967,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.969818,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.97186,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.973602,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.976398,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.977244,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
